"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0186672210693359,1.07075905799866,1.05209183692932,614,57.3603887810361
"2","AL",0.0212020874023438,0.69906210899353,0.677860021591187,2865,32.9713813422094
"3","AZ",0.0285751819610596,0.35501503944397,0.32643985748291,2287,12.4238942704813
"4","CA",0.0534019470214844,0.465816974639893,0.412415027618408,44826,8.72284627473391
"5","CO",0.0301668643951416,0.545933961868286,0.515767097473145,5474,18.097139786136
"6","CT",0.0247631072998047,0.327409029006958,0.302645921707153,4862,13.2216456134946
"7","DC",0.0199630260467529,1.01441192626953,0.994448900222778,684,50.8145370292962
"8","DE",0.0193159580230713,0.332332134246826,0.313016176223755,1556,17.2050557290445
"9","FL",0.0338878631591797,0.920464038848877,0.886576175689697,12989,27.1620560589858
"10","GA",0.0256118774414062,0.321624994277954,0.296013116836548,3896,12.557650059577
"11","GU",0.0167648792266846,0.282943964004517,0.266179084777832,42,16.8771847490649
"12","HI",0.0196371078491211,0.281809091567993,0.262171983718872,1066,14.3508450293818
"13","IA",0.0921781063079834,0.652999877929688,0.560821771621704,6500,7.08411036073901
"14","ID",0.0225179195404053,0.31304407119751,0.290526151657104,2300,13.9019979459379
"15","IL",0.0392580032348633,0.843661069869995,0.804403066635132,20817,21.4901676181222
"16","IN",0.0337250232696533,0.486886024475098,0.453161001205444,13376,14.4369366503362
"17","KS",0.0327770709991455,1.06620216369629,1.03342509269714,9230,32.5289030165046
"18","KY",0.026832103729248,0.695017099380493,0.668184995651245,4470,25.9024453093067
"19","MA",0.0381720066070557,0.345401048660278,0.307229042053223,7433,9.04854314356204
"20","MD",0.0261290073394775,1.01262903213501,0.986500024795532,8586,38.7549752265199
"21","ME",0.0930440425872803,0.331900119781494,0.238856077194214,1172,3.56712918476381
"22","MI",0.0359859466552734,0.822220802307129,0.786234855651855,15363,22.8483860709175
"23","MN",0.0306940078735352,0.335206031799316,0.304512023925781,7620,10.9208948267827
"24","MO",0.0355100631713867,0.907646894454956,0.872136831283569,11318,25.5602725929905
"25","MS",0.0208339691162109,0.32091498374939,0.300081014633179,2409,15.4034491440081
"26","MT",0.0225050449371338,0.437602043151855,0.415096998214722,1963,19.4446198340979
"27","NC",0.0279679298400879,0.293962001800537,0.265994071960449,7373,10.5106814655687
"28","ND",0.0189089775085449,0.275835990905762,0.256927013397217,1544,14.5875677720338
"29","NE",0.0202341079711914,0.325579166412354,0.305345058441162,4449,16.0906113022576
"30","NH",0.0177590847015381,0.34926700592041,0.331507921218872,615,19.6669485950569
"31","NJ",0.026677131652832,0.938148975372314,0.911471843719482,4628,35.1667858291924
"32","NV",0.0240499973297119,0.336105823516846,0.312055826187134,1848,13.9752956688113
"33","NY",0.035222053527832,1.04478788375854,1.00956583023071,9685,29.662889556765
"34","OH",0.0436360836029053,0.366084814071655,0.32244873046875,20402,8.38949749485037
"35","OR",0.0228559970855713,0.991305112838745,0.968449115753174,4108,43.3717728055077
"36","PA",0.0329179763793945,0.342683076858521,0.309765100479126,18271,10.4102109105658
"37","PR",0.0182528495788574,0.288729906082153,0.270477056503296,193,15.8183468742653
"38","RI",0.0189390182495117,1.17894005775452,1.160001039505,578,62.2492698524598
"39","SC",0.0210490226745605,0.46145486831665,0.44040584564209,3761,21.9228643272999
"40","SD",0.0204970836639404,0.423701047897339,0.403203964233398,1565,20.6712845029138
"41","TN",0.0223591327667236,0.414885997772217,0.392526865005493,4075,18.5555496315885
"42","UT",0.0253570079803467,0.344206094741821,0.318849086761475,2591,13.5743970664285
"43","VA",0.0429351329803467,0.99922513961792,0.956290006637573,8306,23.2729019396612
"44","VT",0.0189878940582275,0.362776041030884,0.343788146972656,694,19.1056491003378
"45","WA",0.0339739322662354,0.927963972091675,0.893990039825439,9666,27.3139995929739
"46","WI",0.117906808853149,0.420574903488159,0.30266809463501,7870,3.56701116397762
"47","WV",0.0208709239959717,0.64574408531189,0.624873161315918,3502,30.9398896491849
"48","WY",0.0178980827331543,0.305145025253296,0.287246942520142,1077,17.0490342347143
